Redshift,ZERR
0.03129826,3.87544e-05
0.03137246,1.040118e-05
0.03140457,9.499131e-06
0.03142323,7.158491e-06
0.03143178,5.270181e-06
0.03145656,1.03707e-05
0.03146308,1.132466e-05
0.03147409,1.891155e-05
0.03156731,9.16407e-06
0.03168005,1.44411e-05
0.03168342,1.106368e-05
0.03174119,8.516303e-06
0.03174618,1.091188e-05
0.03175506,8.440439e-06
0.03177028,1.155535e-05
0.03179192,1.711067e-05
0.03181164,1.211069e-05
0.03182963,5.876157e-06
0.03188696,9.578194e-06
0.03188753,2.547947e-05
0.03194694,5.84322e-06
0.03205639,1.012933e-05
0.03210733,1.358122e-05
0.03215495,9.605182e-06
0.03216591,1.518028e-05
0.03217063,1.904313e-05
0.03217256,1.980757e-05
0.03217877,3.909897e-05
0.03220405,4.630479e-06
0.03224073,4.183392e-05
0.0322482,1.170654e-05
0.03234871,7.184417e-06
0.03236141,1.059184e-05
0.03237787,7.108889e-06
0.03246472,7.580682e-06
0.03251161,1.020354e-05
0.03254386,9.64902e-06
0.03258248,1.513074e-05
0.0326238,9.84571e-05
0.03270883,1.056662e-05
0.03271567,1.05474e-05
0.03275498,1.045789e-05
0.03282955,1.164954e-05
0.03284257,9.205091e-06
0.03285715,9.332921e-06
0.03288203,0.01915809
0.03288923,0.4675777
0.03299722,1.12576e-05
0.03306386,0.0001488528
0.03310474,1.361499e-05
0.03314045,1.383378e-05
0.03314481,9.605023e-06
0.03318721,0.0003042223
0.03319381,6.787162e-06
0.03319778,0.000148673
0.03323009,8.230363e-06
0.03335528,5.551582e-06
0.03336138,0.7545207
0.03337454,6.249275e-06
0.03338467,9.831753e-06
0.03338481,0.0001841126
0.03344687,1.082907e-05
0.03349226,1.318018e-05
0.033531,7.597221e-06
0.03359319,1.87173e-05
0.03360537,1.039354e-05
0.03362327,1.308918e-05
0.03362333,7.404308e-06
0.03369793,6.141931e-06
0.03372349,0.0002614669
0.03374803,7.820926e-06
0.03384244,1.023482e-05
0.03384876,8.132119e-06
0.03385723,4.475065e-06
0.03389755,1.179679e-05
0.03394705,0.0001054986
0.0339586,1.28891e-05
0.0339707,8.986667e-06
0.03401121,5.873808e-06
0.03402268,1.540948e-05
0.03406866,5.76161e-06
0.03408244,6.537249e-06
0.0341134,7.192977e-06
0.03413284,0.0002441231
0.03414462,7.65898e-06
0.03417254,1.41252e-05
0.03420312,6.774171e-06
0.03421198,7.362258e-06
0.03423117,2.082312e-05
0.03435051,1.488928e-05
0.03444899,1.722203e-05
0.03453091,8.887927e-06
0.03455208,8.297626e-06
0.03455604,1.040143e-05
0.03463314,1.829335e-05
0.03463908,5.939349e-06
0.03468224,8.441058e-06
0.03468503,1.205572e-05
0.0347322,5.670822e-06
0.03473898,1.630311e-05
0.03476223,6.840979e-06
0.0347859,5.09767e-06
0.03478925,9.978932e-06
0.03482207,2.846819e-05
0.03491023,1.167733e-05
0.03491157,6.631931e-06
0.03501613,0.6360273
0.03510515,9.826986e-06
0.03514025,9.84675e-06
0.03522486,8.933551e-06
0.0353165,1.063617e-05
0.03542209,9.256894e-06
0.03542798,5.989565e-06
0.0355258,0.0002158083
0.03553215,1.746982e-05
0.03554467,1.058401e-05
0.03554573,7.445349e-06
0.0357025,1.240762e-05
0.03576924,1.270139e-05
0.03583442,2.878425e-05
0.03586766,7.808669e-06
0.03594654,6.592197e-06
0.03596931,7.673128e-06
0.03597966,0.2003834
0.03605624,9.25193e-06
0.03608973,6.666032e-06
0.03618091,1.237562e-05
0.03618161,1.163911e-05
0.0362,1.165144e-05
0.03620413,1.413336e-05
0.03620976,0.0001090177
0.0362815,1.517247e-05
0.03630907,6.551612e-06
0.03631544,9.431797e-06
0.03638135,9.335848e-06
0.03642847,2.193724e-05
0.03643642,9.493831e-06
0.03646619,0.4812765
0.03646642,1.051244e-05
0.03648346,4.610423e-06
0.03651971,6.445727e-06
0.03652449,1.60592e-05
0.03654917,5.318274e-06
0.03657253,1.389535e-05
0.03661265,0.0001549157
0.03665748,6.98237e-06
0.03666366,8.254217e-06
0.03672326,9.06984e-06
0.03673783,6.193377e-06
0.03675687,2.159515e-05
0.03678269,1.477251e-05
0.03681069,1.820717e-05
0.03683557,9.401233e-06
0.03686533,9.281957e-06
0.03686792,8.174176e-06
0.03688569,9.634218e-06
0.03690659,4.186982
0.03692734,3.250777e-05
0.03693192,0.1409635
0.03700012,1.818524e-05
0.03704514,1.737717e-05
0.03706244,1.233661e-05
0.03708746,8.771162e-06
0.03716287,0.0001099891
0.03716355,9.77234e-06
0.03717765,1.118873e-05
0.03724075,0.0001335819
0.03732015,6.75912e-06
0.03732302,8.575734e-06
0.03732655,2.262199e-05
0.03732712,3.438138e-05
0.03732789,1.116759e-05
0.03732952,1.175723e-05
0.03751596,2.454821e-05
0.03755451,2.645243e-05
0.03756675,8.583919e-06
0.03756747,7.035067e-06
0.03756782,2.693628e-05
0.03766844,7.681724e-06
0.03784921,1.468773e-05
0.03791638,7.995221e-06
0.0379393,2.1449e-05
0.0380251,5.234186e-05
0.03804455,8.726957e-06
0.03807037,6.425192e-05
0.03811313,1.084173e-05
0.03817803,7.465108e-06
0.03817819,3.455147e-05
0.03820056,8.829375e-06
0.03823531,0.0001371857
0.03828477,1.086178e-05
0.0383003,1.209311e-05
0.03838844,7.439164e-06
0.0384249,0.0002985836
0.03846802,2.268968e-05
0.0384781,8.267602e-06
0.03848846,1.559286e-05
0.03862443,1.004872e-05
0.03863486,4.746837e-06
0.03869112,1.151403e-05
